x,operator,y,=,z
88,-,99,=,-11
45,*,81,=,3645
23,*,68,=,1564
93,*,57,=,5301
60,/,4,=,15
91,*,47,=,4277
23,+,68,=,91
51,+,22,=,73
4,/,2,=,2
86,+,6,=,92
57,/,19,=,3
80,+,62,=,142
76,/,76,=,1
33,/,11,=,3
60,+,87,=,147
62,*,38,=,2356
94,+,27,=,121
31,-,8,=,23
72,*,73,=,5256
17,*,81,=,1377
96,*,53,=,5088
69,-,53,=,16
48,*,81,=,3888
55,/,55,=,1
81,/,81,=,1
67,/,67,=,1
27,+,89,=,116
20,/,1,=,20
17,-,73,=,-56
5,/,5,=,1
19,+,71,=,90
53,-,14,=,39
61,+,81,=,142
38,+,99,=,137
89,/,1,=,89
76,*,13,=,988
19,*,83,=,1577
52,-,15,=,37
59,/,59,=,1
65,-,24,=,41
2,+,68,=,70
88,-,76,=,12
28,*,51,=,1428
55,-,64,=,-9
82,/,2,=,41
27,+,6,=,33
92,-,46,=,46
83,/,1,=,83
89,/,89,=,1
95,*,74,=,7030
61,*,62,=,3782
56,-,4,=,52
90,+,25,=,115
61,+,90,=,151
80,*,3,=,240
62,/,1,=,62
70,+,17,=,87
40,/,2,=,20
79,+,61,=,140
14,-,10,=,4
18,+,75,=,93
17,*,41,=,697
64,*,59,=,3776
27,/,27,=,1
68,+,18,=,86
19,/,19,=,1
69,*,87,=,6003
57,/,3,=,19
53,/,1,=,53
40,+,46,=,86
11,/,11,=,1
17,+,48,=,65
85,/,85,=,1
19,*,78,=,1482
40,-,82,=,-42
58,+,36,=,94
7,*,100,=,700
47,/,1,=,47
10,/,2,=,5
31,-,80,=,-49
27,-,26,=,1
11,*,35,=,385
40,/,2,=,20
75,*,31,=,2325
56,*,93,=,5208
14,/,14,=,1
4,/,4,=,1
29,-,85,=,-56
21,+,6,=,27
5,+,31,=,36
65,+,34,=,99
57,-,98,=,-41
9,*,45,=,405
62,*,29,=,1798
19,+,95,=,114
64,+,48,=,112
30,-,44,=,-14
5,/,5,=,1
24,*,48,=,1152
39,/,39,=,1
59,+,11,=,70
35,+,71,=,106
12,+,69,=,81
74,-,47,=,27
94,/,2,=,47
85,+,39,=,124
19,+,31,=,50
86,-,39,=,47
66,+,72,=,138
98,/,2,=,49
91,+,29,=,120
54,-,58,=,-4
24,/,24,=,1
90,+,20,=,110
18,+,78,=,96
61,-,68,=,-7
50,*,57,=,2850
79,/,1,=,79
88,/,88,=,1
15,*,74,=,1110
16,*,27,=,432
85,-,39,=,46
11,-,57,=,-46
11,/,1,=,11
40,-,45,=,-5
10,/,5,=,2
40,-,25,=,15
98,/,2,=,49
2,*,42,=,84
47,/,47,=,1
73,*,84,=,6132
71,-,62,=,9
41,/,41,=,1
12,+,50,=,62
20,/,1,=,20
76,+,79,=,155
8,/,2,=,4
28,-,86,=,-58
47,*,28,=,1316
84,-,59,=,25
67,-,85,=,-18
91,-,49,=,42
40,*,2,=,80
61,*,72,=,4392
75,+,95,=,170
68,*,18,=,1224
2,+,81,=,83
62,/,2,=,31
95,/,95,=,1
55,-,79,=,-24
79,+,80,=,159
87,+,76,=,163
97,+,69,=,166
8,-,63,=,-55
17,-,39,=,-22
98,/,7,=,14
50,/,1,=,50
31,-,44,=,-13
9,-,35,=,-26
24,+,92,=,116
9,*,85,=,765
11,*,88,=,968
70,*,79,=,5530
30,-,40,=,-10
64,-,4,=,60
1,/,1,=,1
82,-,7,=,75
61,*,25,=,1525
38,/,1,=,38
62,/,1,=,62
55,*,43,=,2365
25,+,71,=,96
61,/,1,=,61
4,+,4,=,8
12,/,3,=,4
8,*,51,=,408
62,*,91,=,5642
99,+,36,=,135
42,*,41,=,1722
54,+,8,=,62
11,/,11,=,1
3,*,60,=,180
74,/,1,=,74
16,+,39,=,55
65,*,54,=,3510
79,+,39,=,118
19,/,1,=,19
31,-,34,=,-3
66,+,28,=,94
52,-,48,=,4
33,+,53,=,86
47,/,47,=,1
95,-,77,=,18
18,+,38,=,56
51,/,1,=,51
48,-,46,=,2
38,/,1,=,38
9,*,44,=,396
15,/,3,=,5
55,+,93,=,148
5,-,98,=,-93
31,+,11,=,42
3,/,1,=,3
76,*,55,=,4180
87,/,29,=,3
23,-,8,=,15
14,-,36,=,-22
34,/,17,=,2
32,*,61,=,1952
43,*,90,=,3870
45,/,45,=,1
8,*,88,=,704
27,/,9,=,3
100,+,19,=,119
67,+,99,=,166
38,/,2,=,19
14,-,64,=,-50
96,-,29,=,67
2,-,52,=,-50
16,/,16,=,1
69,*,18,=,1242
22,+,21,=,43
95,-,84,=,11
31,+,68,=,99
64,/,4,=,16
26,/,13,=,2
94,/,1,=,94
34,+,43,=,77
46,*,61,=,2806
88,+,80,=,168
95,+,69,=,164
74,-,40,=,34
100,+,63,=,163
10,-,34,=,-24
60,-,60,=,0
63,-,54,=,9
94,-,93,=,1
50,*,67,=,3350
52,+,4,=,56
34,*,52,=,1768
7,/,1,=,7
35,-,5,=,30
55,+,74,=,129
44,-,62,=,-18
27,+,12,=,39
69,+,84,=,153
37,-,79,=,-42
37,-,34,=,3
81,*,24,=,1944
87,-,58,=,29
69,*,73,=,5037
36,-,93,=,-57
57,-,13,=,44
84,*,100,=,8400
18,*,96,=,1728
46,*,58,=,2668
15,/,3,=,5
37,-,45,=,-8
59,-,42,=,17
68,/,1,=,68
44,+,27,=,71
37,+,78,=,115
95,*,76,=,7220
77,+,44,=,121
83,*,1,=,83
48,+,60,=,108
20,-,77,=,-57
29,/,1,=,29
39,*,38,=,1482
46,/,1,=,46
8,+,45,=,53
67,*,93,=,6231
81,+,92,=,173
84,/,7,=,12
34,/,34,=,1
17,*,56,=,952
85,-,32,=,53
88,/,8,=,11
11,*,38,=,418
43,/,1,=,43
38,+,72,=,110
85,-,29,=,56
96,*,43,=,4128
21,-,43,=,-22
59,+,17,=,76
94,+,69,=,163
50,-,85,=,-35
81,-,5,=,76
20,*,16,=,320
39,-,70,=,-31
64,+,23,=,87
53,*,83,=,4399
9,+,6,=,15
58,*,32,=,1856
26,*,88,=,2288
74,+,90,=,164
41,-,63,=,-22
25,-,16,=,9
70,+,84,=,154
72,-,72,=,0
11,+,71,=,82
18,/,2,=,9
4,*,89,=,356
90,/,1,=,90
50,/,2,=,25
91,*,29,=,2639
2,/,1,=,2
26,/,26,=,1
3,+,58,=,61
64,*,34,=,2176
10,+,24,=,34
83,+,5,=,88
8,/,4,=,2
43,*,97,=,4171
81,-,57,=,24
46,+,71,=,117
51,-,17,=,34
79,+,96,=,175
27,+,71,=,98
46,/,1,=,46
31,+,97,=,128
68,+,13,=,81
62,+,84,=,146
63,+,65,=,128
20,*,64,=,1280
26,/,1,=,26
19,/,19,=,1
29,*,83,=,2407
4,+,73,=,77
15,*,97,=,1455
98,+,24,=,122
57,*,77,=,4389
1,+,90,=,91
74,-,33,=,41
92,+,56,=,148
28,/,2,=,14
37,/,37,=,1
93,*,36,=,3348
56,+,52,=,108
68,-,81,=,-13
19,-,92,=,-73
9,*,77,=,693
14,/,7,=,2
15,+,61,=,76
56,-,50,=,6
46,-,94,=,-48
20,-,11,=,9
3,-,7,=,-4
84,*,29,=,2436
78,+,23,=,101
82,-,52,=,30
100,+,81,=,181
34,-,79,=,-45
73,+,33,=,106
17,-,21,=,-4
88,/,22,=,4
86,-,55,=,31
93,-,24,=,69
13,/,13,=,1
48,+,30,=,78
24,-,59,=,-35
26,*,78,=,2028
24,*,30,=,720
72,/,4,=,18
92,+,18,=,110
20,/,1,=,20
56,*,16,=,896
74,-,67,=,7
16,-,40,=,-24
44,*,26,=,1144
32,+,98,=,130
99,/,1,=,99
10,-,75,=,-65
45,-,17,=,28
27,*,89,=,2403
27,/,9,=,3
74,-,8,=,66
87,/,29,=,3
65,/,65,=,1
45,-,90,=,-45
94,*,55,=,5170
52,*,71,=,3692
56,*,85,=,4760
59,*,18,=,1062
65,/,1,=,65
37,-,95,=,-58
6,-,46,=,-40
83,-,97,=,-14
13,/,13,=,1
32,*,31,=,992
80,+,86,=,166
23,/,1,=,23
14,+,24,=,38
47,+,97,=,144
92,+,38,=,130
79,/,79,=,1
36,-,39,=,-3
86,*,91,=,7826
56,/,1,=,56
13,-,54,=,-41
99,/,3,=,33
98,*,30,=,2940
44,*,3,=,132
44,+,61,=,105
26,/,26,=,1
14,+,99,=,113
77,-,15,=,62
4,+,30,=,34
27,+,61,=,88
84,*,47,=,3948
68,-,22,=,46
28,/,14,=,2
49,*,5,=,245
87,+,21,=,108
11,/,1,=,11
56,+,12,=,68
43,/,1,=,43
85,-,45,=,40
23,-,20,=,3
56,/,14,=,4
10,-,41,=,-31
93,*,61,=,5673
83,/,83,=,1
78,+,54,=,132
74,*,98,=,7252
24,/,4,=,6
22,-,23,=,-1
1,*,86,=,86
18,+,35,=,53
61,/,1,=,61
11,*,56,=,616
18,*,2,=,36
10,*,59,=,590
62,+,91,=,153
50,-,80,=,-30
88,*,1,=,88
63,*,74,=,4662
88,/,4,=,22
83,-,71,=,12
97,*,44,=,4268
41,-,40,=,1
6,+,10,=,16
58,/,29,=,2
25,*,66,=,1650
14,+,90,=,104
27,*,73,=,1971
79,/,79,=,1
42,-,59,=,-17
12,/,6,=,2
61,*,52,=,3172
65,-,93,=,-28
28,-,30,=,-2
32,*,36,=,1152
38,/,19,=,2
37,+,13,=,50
39,*,73,=,2847
92,+,60,=,152
5,+,67,=,72
52,/,2,=,26
69,-,70,=,-1
55,-,46,=,9
73,/,1,=,73
86,*,34,=,2924
62,*,58,=,3596
53,-,15,=,38
29,*,61,=,1769
12,+,27,=,39
60,-,5,=,55
62,*,88,=,5456
96,-,91,=,5
43,+,95,=,138
9,/,3,=,3
67,+,17,=,84
16,+,77,=,93
19,-,81,=,-62
87,/,1,=,87
43,+,70,=,113
90,/,6,=,15
78,-,32,=,46
97,*,82,=,7954
47,/,1,=,47
31,*,58,=,1798
67,*,59,=,3953
67,-,73,=,-6
47,-,12,=,35
59,/,1,=,59
78,-,97,=,-19
93,+,26,=,119
70,-,28,=,42
75,+,27,=,102
61,/,1,=,61
71,+,86,=,157
15,-,83,=,-68
25,/,25,=,1
79,*,68,=,5372
96,-,21,=,75
48,*,11,=,528
87,-,61,=,26
26,-,49,=,-23
77,+,49,=,126
84,-,63,=,21
98,/,1,=,98
88,/,88,=,1
45,/,3,=,15
54,/,9,=,6
14,+,53,=,67
72,+,23,=,95
28,+,21,=,49
94,*,76,=,7144
88,-,87,=,1
17,*,83,=,1411
90,-,37,=,53
4,+,2,=,6
10,/,5,=,2
61,*,27,=,1647
15,/,15,=,1
98,-,41,=,57
67,/,1,=,67
40,-,64,=,-24
45,/,9,=,5
80,*,10,=,800
52,/,52,=,1
13,/,13,=,1
35,*,93,=,3255
79,/,1,=,79
35,+,94,=,129
27,/,3,=,9
9,/,9,=,1
81,*,62,=,5022
65,*,100,=,6500
35,+,100,=,135
96,+,58,=,154
71,+,13,=,84
26,/,26,=,1
100,+,85,=,185
41,+,10,=,51
13,+,69,=,82
48,/,24,=,2
29,/,29,=,1
46,-,85,=,-39
87,/,1,=,87
11,-,44,=,-33
27,-,13,=,14
41,-,66,=,-25
95,-,82,=,13
31,/,31,=,1
40,*,34,=,1360
83,*,52,=,4316
45,-,87,=,-42
1,-,11,=,-10
15,/,5,=,3
100,*,1,=,100
33,/,11,=,3
50,/,10,=,5
60,/,1,=,60
66,*,75,=,4950
38,*,7,=,266
54,+,48,=,102
41,-,25,=,16
15,/,3,=,5
18,*,71,=,1278
58,-,50,=,8
49,/,49,=,1
45,-,1,=,44
29,/,1,=,29
65,/,13,=,5
17,*,40,=,680
18,+,60,=,78
88,+,27,=,115
3,/,3,=,1
39,*,68,=,2652
17,+,94,=,111
100,+,82,=,182
55,-,45,=,10
71,+,100,=,171
87,+,88,=,175
19,+,94,=,113
64,/,64,=,1
91,+,14,=,105
52,+,49,=,101
35,+,71,=,106
17,/,17,=,1
40,/,2,=,20
99,*,93,=,9207
76,+,27,=,103
25,*,22,=,550
38,+,58,=,96
93,-,64,=,29
24,+,73,=,97
5,+,32,=,37
10,+,42,=,52
73,+,61,=,134
85,/,17,=,5
35,+,94,=,129
67,-,90,=,-23
43,*,24,=,1032
58,/,2,=,29
43,+,67,=,110
14,-,28,=,-14
81,/,9,=,9
33,+,28,=,61
27,+,84,=,111
15,/,15,=,1
52,/,1,=,52
13,/,13,=,1
98,/,49,=,2
58,*,56,=,3248
23,+,79,=,102
37,*,65,=,2405
52,*,42,=,2184
97,+,6,=,103
75,+,51,=,126
100,*,46,=,4600
28,+,69,=,97
86,-,100,=,-14
88,*,44,=,3872
43,-,2,=,41
40,/,8,=,5
94,+,22,=,116
50,-,80,=,-30
97,/,1,=,97
41,*,72,=,2952
19,*,54,=,1026
11,+,5,=,16
46,+,33,=,79
15,/,5,=,3
6,-,54,=,-48
95,/,5,=,19
83,-,67,=,16
55,+,55,=,110
10,/,5,=,2
4,-,41,=,-37
42,-,18,=,24
72,+,27,=,99
89,+,25,=,114
71,/,1,=,71
52,/,13,=,4
71,*,7,=,497
52,/,1,=,52
51,/,51,=,1
8,/,4,=,2
13,+,85,=,98
30,/,15,=,2
15,*,55,=,825
35,+,68,=,103
100,-,19,=,81
70,/,35,=,2
76,+,37,=,113
8,-,11,=,-3
95,-,12,=,83
73,-,39,=,34
48,+,1,=,49
93,+,6,=,99
86,*,45,=,3870
49,+,37,=,86
84,/,42,=,2
53,+,82,=,135
61,/,1,=,61
67,/,1,=,67
50,-,96,=,-46
48,*,2,=,96
28,+,14,=,42
7,+,69,=,76
98,+,64,=,162
21,-,20,=,1
39,*,54,=,2106
93,*,56,=,5208
79,/,1,=,79
98,-,53,=,45
66,-,67,=,-1
36,*,23,=,828
84,+,76,=,160
8,*,100,=,800
50,*,48,=,2400
12,+,22,=,34
48,*,62,=,2976
72,-,21,=,51
51,-,72,=,-21
55,-,42,=,13
20,-,27,=,-7
20,/,4,=,5
52,-,89,=,-37
41,+,30,=,71
43,+,88,=,131
13,/,13,=,1
97,/,1,=,97
83,-,100,=,-17
38,/,19,=,2
81,-,31,=,50
19,*,4,=,76
75,-,24,=,51
22,-,15,=,7
22,*,52,=,1144
49,+,69,=,118
69,*,31,=,2139
21,-,23,=,-2
20,/,10,=,2
86,+,74,=,160
70,/,14,=,5
77,*,37,=,2849
29,+,18,=,47
3,-,33,=,-30
53,/,53,=,1
14,-,39,=,-25
93,/,1,=,93
85,-,13,=,72
54,*,14,=,756
45,+,88,=,133
68,*,85,=,5780
9,-,17,=,-8
68,-,2,=,66
39,*,80,=,3120
32,/,4,=,8
36,+,29,=,65
19,+,51,=,70
43,/,1,=,43
27,/,27,=,1
20,-,42,=,-22
10,+,8,=,18
31,-,8,=,23
47,+,90,=,137
72,/,18,=,4
23,+,45,=,68
13,+,6,=,19
47,-,96,=,-49
8,+,87,=,95
56,-,55,=,1
29,+,65,=,94
17,*,44,=,748
41,+,39,=,80
45,-,72,=,-27
72,*,58,=,4176
39,+,71,=,110
63,+,15,=,78
10,-,94,=,-84
32,+,84,=,116
6,/,2,=,3
57,*,5,=,285
15,-,56,=,-41
50,*,53,=,2650
36,+,67,=,103
72,-,68,=,4
79,/,79,=,1
55,/,11,=,5
82,/,1,=,82
8,-,39,=,-31
63,*,57,=,3591
27,/,1,=,27
5,-,7,=,-2
92,-,74,=,18
46,-,3,=,43
42,*,64,=,2688
88,-,37,=,51
25,-,59,=,-34
96,-,34,=,62
97,/,1,=,97
37,/,37,=,1
53,/,53,=,1
57,/,1,=,57
53,-,53,=,0
84,/,7,=,12
16,*,71,=,1136
59,*,66,=,3894
97,+,28,=,125
83,*,25,=,2075
80,/,80,=,1
77,-,37,=,40
76,+,89,=,165
17,/,1,=,17
24,+,32,=,56
63,*,31,=,1953
22,*,59,=,1298
56,+,97,=,153
47,/,1,=,47
90,*,9,=,810
85,-,49,=,36
27,+,8,=,35
100,-,31,=,69
40,+,88,=,128
38,/,19,=,2
6,+,36,=,42
46,/,1,=,46
34,*,88,=,2992
8,*,13,=,104
45,+,34,=,79
51,*,71,=,3621
59,-,52,=,7
46,+,16,=,62
67,+,63,=,130
89,+,10,=,99
73,-,26,=,47
29,*,90,=,2610
50,-,38,=,12
38,-,10,=,28
37,/,1,=,37
93,+,65,=,158
6,-,30,=,-24
42,*,53,=,2226
59,-,88,=,-29
20,-,96,=,-76
95,/,1,=,95
86,/,86,=,1
83,+,42,=,125
56,*,65,=,3640
80,+,79,=,159
5,*,68,=,340
18,+,21,=,39
7,-,77,=,-70
28,+,35,=,63
25,/,5,=,5
55,*,56,=,3080
17,*,24,=,408
2,+,57,=,59
60,+,60,=,120
17,/,1,=,17
23,+,44,=,67
1,-,78,=,-77
46,/,2,=,23
7,/,1,=,7
27,*,30,=,810
42,-,67,=,-25
86,+,23,=,109
57,+,5,=,62
70,*,44,=,3080
62,*,70,=,4340
73,/,1,=,73
9,*,24,=,216
15,/,1,=,15
92,*,73,=,6716
17,+,25,=,42
11,+,52,=,63
18,+,7,=,25
97,+,92,=,189
16,+,11,=,27
43,+,22,=,65
86,/,1,=,86
29,-,69,=,-40
52,+,10,=,62
98,+,98,=,196
38,+,2,=,40
62,*,73,=,4526
96,/,96,=,1
88,*,23,=,2024
96,*,62,=,5952
40,-,79,=,-39
9,-,58,=,-49
22,-,57,=,-35
88,*,80,=,7040
8,*,13,=,104
17,+,52,=,69
54,+,18,=,72
79,+,4,=,83
56,-,72,=,-16
79,-,67,=,12
59,+,9,=,68
90,+,58,=,148
49,/,49,=,1
37,+,31,=,68
63,+,9,=,72
5,*,17,=,85
96,/,6,=,16
20,-,13,=,7
81,+,4,=,85
81,-,1,=,80
67,*,2,=,134
28,+,44,=,72
1,-,86,=,-85
97,/,1,=,97
93,/,3,=,31
4,*,96,=,384
86,*,61,=,5246
38,+,89,=,127
31,/,1,=,31
64,/,8,=,8
62,*,13,=,806
80,+,31,=,111
20,/,2,=,10
75,-,17,=,58
20,/,4,=,5
58,-,7,=,51
31,-,10,=,21
69,-,94,=,-25
26,*,82,=,2132
21,+,81,=,102
82,-,42,=,40
30,+,12,=,42
43,/,1,=,43
12,+,81,=,93
83,*,84,=,6972
10,*,11,=,110
58,*,87,=,5046
71,-,50,=,21
96,*,23,=,2208
47,-,73,=,-26
89,-,91,=,-2
79,+,71,=,150
74,-,48,=,26
58,*,78,=,4524
1,*,11,=,11
49,+,69,=,118
27,/,9,=,3
40,*,88,=,3520
72,+,74,=,146
5,-,74,=,-69
33,/,11,=,3
39,*,30,=,1170
76,-,21,=,55
43,/,1,=,43
36,*,66,=,2376
31,-,51,=,-20
57,/,3,=,19
81,+,51,=,132
33,-,70,=,-37
24,/,8,=,3
43,+,98,=,141
50,*,9,=,450
52,+,82,=,134
66,+,44,=,110
99,*,92,=,9108
9,-,51,=,-42
4,-,50,=,-46
31,+,49,=,80
97,*,39,=,3783
98,*,71,=,6958
43,-,93,=,-50
11,/,1,=,11
79,-,90,=,-11
95,-,99,=,-4
48,-,97,=,-49
24,*,58,=,1392
70,/,35,=,2
13,-,96,=,-83
33,/,1,=,33
6,-,65,=,-59
77,-,85,=,-8
36,-,87,=,-51
48,/,48,=,1
93,/,93,=,1
86,+,54,=,140
30,/,5,=,6
74,*,31,=,2294
62,/,1,=,62
62,-,99,=,-37
3,/,3,=,1
81,-,52,=,29
60,-,92,=,-32
6,*,2,=,12
28,*,76,=,2128
94,+,33,=,127
63,/,7,=,9
59,*,82,=,4838
57,-,39,=,18
91,*,67,=,6097
71,-,86,=,-15
50,+,90,=,140
45,-,25,=,20
71,/,71,=,1
16,*,28,=,448
94,*,13,=,1222
23,/,1,=,23
2,/,1,=,2
88,+,85,=,173
27,-,100,=,-73
90,/,15,=,6
56,/,8,=,7
40,+,10,=,50
49,*,99,=,4851
80,+,93,=,173
22,+,58,=,80
58,-,58,=,0
12,-,22,=,-10
69,*,92,=,6348
5,-,89,=,-84
87,+,89,=,176
88,-,30,=,58
30,-,53,=,-23
53,*,24,=,1272
43,*,30,=,1290
10,-,59,=,-49
39,/,13,=,3
79,-,80,=,-1
37,/,37,=,1
26,/,2,=,13
19,+,12,=,31
63,*,39,=,2457
68,-,30,=,38
96,+,23,=,119
19,+,36,=,55
69,-,9,=,60
62,/,31,=,2
60,-,20,=,40
22,/,1,=,22
33,-,83,=,-50
77,+,42,=,119
94,+,71,=,165
51,+,65,=,116
92,-,71,=,21
15,*,76,=,1140
7,/,1,=,7
96,*,86,=,8256
67,+,27,=,94
68,*,25,=,1700
91,+,35,=,126
52,/,2,=,26
68,/,17,=,4
44,*,5,=,220
40,*,62,=,2480
2,-,82,=,-80
91,*,99,=,9009
91,-,95,=,-4
50,/,10,=,5
9,/,3,=,3
65,/,5,=,13
33,*,56,=,1848
100,-,20,=,80
53,*,34,=,1802
43,*,90,=,3870
5,+,74,=,79
49,/,49,=,1
33,-,12,=,21
92,*,98,=,9016
1,-,89,=,-88
15,/,5,=,3
9,/,3,=,3
42,/,14,=,3
33,-,62,=,-29
74,*,32,=,2368
35,+,70,=,105
68,+,39,=,107
46,+,13,=,59
66,*,18,=,1188
77,/,7,=,11
25,/,1,=,25
22,*,67,=,1474
8,-,70,=,-62
86,-,86,=,0
18,*,78,=,1404
30,*,82,=,2460
29,-,22,=,7
69,/,69,=,1
14,/,2,=,7
34,*,47,=,1598
36,/,3,=,12
1,-,26,=,-25
76,-,65,=,11
12,/,3,=,4
5,*,55,=,275
24,/,6,=,4
5,+,32,=,37
48,*,75,=,3600
73,*,92,=,6716
34,/,1,=,34
55,*,96,=,5280
87,/,1,=,87
13,/,13,=,1
99,+,25,=,124
68,/,2,=,34
95,/,19,=,5
64,+,14,=,78
74,*,95,=,7030
69,*,32,=,2208
1,+,26,=,27
22,+,73,=,95
99,/,9,=,11
30,-,62,=,-32
23,+,68,=,91
54,*,91,=,4914
91,*,5,=,455
45,*,82,=,3690
76,*,98,=,7448
41,+,41,=,82
47,-,53,=,-6
68,*,18,=,1224
73,/,1,=,73
60,*,53,=,3180
35,/,35,=,1
63,-,23,=,40
22,*,34,=,748
27,-,62,=,-35
52,-,24,=,28
25,+,34,=,59
25,*,100,=,2500
49,-,35,=,14
59,+,98,=,157
32,/,2,=,16
72,+,14,=,86
37,/,37,=,1
39,-,14,=,25
56,*,3,=,168
16,+,81,=,97
61,+,76,=,137
84,+,97,=,181
83,+,84,=,167
63,+,64,=,127
36,-,36,=,0
23,/,23,=,1
66,*,58,=,3828
91,-,37,=,54
60,/,6,=,10
13,*,24,=,312
1,*,94,=,94
63,/,9,=,7
65,-,7,=,58
57,-,15,=,42
5,-,2,=,3
31,/,31,=,1
54,-,65,=,-11
12,/,6,=,2
4,/,4,=,1
22,*,87,=,1914
90,+,42,=,132
6,/,1,=,6
74,+,29,=,103
93,/,3,=,31
66,-,53,=,13
21,*,14,=,294
59,*,82,=,4838
3,*,87,=,261
98,+,27,=,125
69,*,35,=,2415
67,/,67,=,1
53,/,53,=,1
22,/,1,=,22
64,/,4,=,16
75,/,1,=,75
76,+,82,=,158
46,/,23,=,2
17,/,17,=,1
27,/,1,=,27
95,-,33,=,62
54,/,27,=,2
65,/,1,=,65
14,*,25,=,350
81,/,9,=,9
58,*,31,=,1798
74,*,39,=,2886
44,*,64,=,2816
32,*,72,=,2304
57,*,60,=,3420
99,+,32,=,131
74,+,75,=,149
39,*,76,=,2964
45,*,40,=,1800
62,*,68,=,4216
89,-,29,=,60
91,*,18,=,1638
4,-,99,=,-95
12,/,3,=,4
54,/,18,=,3
81,/,3,=,27
10,/,2,=,5
43,-,9,=,34
39,/,39,=,1
82,*,3,=,246
88,/,8,=,11
25,-,26,=,-1
90,-,63,=,27
48,/,8,=,6
71,/,1,=,71
33,-,7,=,26
77,/,1,=,77
10,/,1,=,10
98,-,62,=,36
58,-,31,=,27
60,/,2,=,30
57,-,82,=,-25
29,/,29,=,1
25,+,74,=,99
100,/,100,=,1
2,*,79,=,158
26,*,98,=,2548
1,*,39,=,39
44,-,35,=,9
24,*,90,=,2160
18,-,64,=,-46
75,/,5,=,15
14,/,7,=,2
74,-,42,=,32
94,+,39,=,133
88,*,21,=,1848
18,+,95,=,113
32,*,8,=,256
34,+,67,=,101
100,/,50,=,2
61,/,1,=,61
32,*,62,=,1984
84,-,78,=,6
7,/,7,=,1
22,/,22,=,1
40,/,10,=,4
96,+,81,=,177
8,+,23,=,31
1,/,1,=,1
36,-,51,=,-15
12,+,45,=,57
86,/,43,=,2
61,/,1,=,61
55,*,41,=,2255
15,*,80,=,1200
80,-,52,=,28
13,/,1,=,13
91,-,99,=,-8
30,/,1,=,30
60,+,2,=,62
55,/,1,=,55
17,/,17,=,1
35,-,1,=,34
65,*,41,=,2665
36,-,20,=,16
53,-,59,=,-6
98,+,96,=,194
58,+,64,=,122
26,*,19,=,494
26,*,36,=,936
49,-,17,=,32
16,+,53,=,69
2,-,9,=,-7
49,/,7,=,7
11,/,1,=,11
38,/,2,=,19
46,/,23,=,2
24,-,36,=,-12
50,+,26,=,76
76,/,19,=,4
29,-,92,=,-63
59,+,48,=,107
71,-,41,=,30
12,+,68,=,80
36,*,51,=,1836
37,*,88,=,3256
54,+,9,=,63
75,-,44,=,31
14,/,2,=,7
77,+,83,=,160
49,*,64,=,3136
74,-,67,=,7
88,-,38,=,50
26,*,39,=,1014
30,+,83,=,113
22,/,1,=,22
99,-,87,=,12
7,-,60,=,-53
31,/,31,=,1
71,+,69,=,140
19,/,1,=,19
42,-,99,=,-57
64,/,2,=,32
90,-,86,=,4
19,-,72,=,-53
56,+,63,=,119
26,-,96,=,-70
23,+,36,=,59
76,+,3,=,79
14,-,61,=,-47
26,+,15,=,41
4,*,93,=,372
1,/,1,=,1
44,-,70,=,-26
23,/,1,=,23
47,*,3,=,141
94,+,26,=,120
40,-,26,=,14
21,*,82,=,1722
1,-,94,=,-93
69,*,71,=,4899
37,+,85,=,122
74,+,46,=,120
84,*,65,=,5460
97,-,91,=,6
55,*,60,=,3300
83,+,40,=,123
76,*,6,=,456
23,/,1,=,23
73,*,68,=,4964
76,/,2,=,38
71,*,10,=,710
25,*,54,=,1350
63,+,88,=,151
1,-,1,=,0
53,*,19,=,1007
57,-,92,=,-35
71,*,6,=,426
32,*,3,=,96
5,-,69,=,-64
81,-,71,=,10
74,/,2,=,37
48,/,48,=,1
91,/,7,=,13
10,-,26,=,-16
100,-,10,=,90
25,*,78,=,1950
3,/,3,=,1
77,-,6,=,71
72,*,89,=,6408
38,*,8,=,304
97,-,40,=,57
3,*,96,=,288
96,*,78,=,7488
86,+,60,=,146
8,/,2,=,4
66,/,2,=,33
85,+,19,=,104
80,-,18,=,62
84,+,91,=,175
25,-,86,=,-61
3,+,49,=,52
83,/,83,=,1
71,+,38,=,109
51,*,54,=,2754
73,-,94,=,-21
49,+,77,=,126
50,/,50,=,1
79,-,38,=,41
49,*,70,=,3430
35,/,5,=,7
98,+,49,=,147
37,+,32,=,69
53,+,50,=,103
9,/,3,=,3
36,-,27,=,9
36,+,18,=,54
82,+,94,=,176
33,+,21,=,54
5,-,71,=,-66
3,+,8,=,11
67,-,72,=,-5
23,+,57,=,80
3,*,82,=,246
84,-,1,=,83
44,+,27,=,71
75,+,23,=,98
43,+,19,=,62
17,-,68,=,-51
37,-,76,=,-39
54,/,2,=,27
74,/,1,=,74
2,*,72,=,144
45,-,66,=,-21
60,-,73,=,-13
13,*,18,=,234
7,*,87,=,609
62,*,38,=,2356
71,/,71,=,1
80,-,98,=,-18
56,/,28,=,2
5,*,8,=,40
67,-,35,=,32
63,/,3,=,21
68,*,15,=,1020
57,*,2,=,114
94,-,100,=,-6
95,-,25,=,70
61,-,82,=,-21
11,+,93,=,104
27,/,9,=,3
74,+,29,=,103
7,+,15,=,22
97,*,4,=,388
64,+,45,=,109
